image,accuracy,recall,specificity,precision,f1
1,0.9767777777777777,0.7384289870404654,0.9872301928809195,0.7171846904700745,0.7276518113109199
2,0.9715555555555555,0.7612994350282486,0.9819712659763038,0.6765690376569038,0.7164377492246345
3,0.9804222222222222,0.83935209771641,0.9865830182990468,0.7320518758684577,0.7820385947550718
4,0.9473333333333334,0.7083228564244405,0.9583832230914988,0.4403626700015632,0.5430884904569114
5,0.9705222222222222,0.7219662058371735,0.9798489826502969,0.5734504636408004,0.6391948864409085
6,0.9767111111111111,0.7291285801340646,0.9860813210636776,0.6647222222222222,0.6954373728567277
7,0.9687,0.6340857787810383,0.9860231389505668,0.7013732833957553,0.6660343805572021
8,0.9799777777777777,0.7828054298642534,0.9896271605226046,0.7869284175245391,0.7848615090735435
9,0.9736666666666667,0.796857953305695,0.9831532364751747,0.7173443331369083,0.7550134380814555
10,0.9723333333333334,0.7608915906788247,0.9820341189048483,0.6602197802197802,0.7069898799717581
11,0.9642333333333334,0.6749521988527725,0.9764996119945795,0.5491111111111111,0.6055630437446391
12,0.9545333333333333,0.593215587328287,0.9856394661260348,0.7805237919586868,0.6741000318572793
13,0.9799777777777777,0.9013966480446928,0.9832330479055774,0.6901197604790419,0.7817344961240309
14,0.958,0.7587651256593236,0.9733705148766068,0.6873243395165823,0.7212800471906798
15,0.9593888888888888,0.8091464795109803,0.9671430073729596,0.5596617601002192,0.6616680551698603
16,0.9681111111111111,0.8328976472953952,0.9760193820786338,0.6701181038666882,0.7426932042316658
17,0.9729888888888889,0.7790940766550523,0.9827294474590116,0.6938353330575093,0.7339971550497867
18,0.9547555555555556,0.7253551442100732,0.9672423085034093,0.5465455724943237,0.6233814280429153
19,0.9686222222222223,0.7309997602493407,0.9801698726537651,0.6417596295516733,0.6834790405738623
20,0.9635666666666667,0.833072345756342,0.9735331403831894,0.7062259392008496,0.7644227315180688
